null,GGKA,GSKV,EGKA,egka,GGKV,GSKA,lib
85.049995,1111.049927,3768.299805,76.049995,214.649994,5598.899902,155.25,153
72.900002,1198.799927,3258.899902,292.049988,39.149998,4085.099854,2126.25,214.199997
388.349976,3762,3068.099854,84.599998,90.449997,1245.599976,1431,174.599991
238.049988,6417.449707,99,170.550003,129.149994,42.75,315.899994,92.699997
85.949997,6152.399902,9488.700195,129.599991,373.949982,852.75,1494,70.199997
77.400002,3408.299805,155.699997,43.649998,120.599998,711,6744.149902,130.949997
184.049988,1896.299927,206.549988,401.849976,121.049995,3688.649902,77.849998,78.299995
110.25,8535.599609,102.599998,63,130.050003,4389.299805,461.25,104.849998
1305.449951,10039.9502,238.949997,227.25,485.099976,395.099976,6436.349609,507.599976
510.299988,4261.049805,578.25,136.800003,103.949997,1066.049927,193.5,388.349976
76.5,7406.549805,144,306,180.449997,5738.849609,2634.300049,77.400002
81,4484.699707,284.850006,403.199982,130.5,715.5,720.899963,162.449997
138.599991,8026.199707,148.050003,840.599976,830.699951,395.099976,1275.299927,186.299988
312.299988,909.899963,247.5,198.899994,229.949997,1889.099976,953.549988,106.649994
312.299988,3092.849854,3457.349854,59.849998,84.599998,1223.549927,457.199982,240.75
168.75,4549.5,489.149994,94.5,371.699982,3290.849854,1903.5,29.699999
48.149998,445.949982,833.849976,90.449997,189.899994,2328.300049,579.149963,200.699997
706.5,934.649963,101.25,301.949982,150.300003,1811.699951,354.149994,68.400002
92.699997,16672.04883,1269,76.049995,83.25,309.600006,189.899994,436.049988
154.800003,2281.050049,3002.399902,384.299988,150.75,4311,2452.050049,168.300003
116.099998,2304.449951,4730.399902,78.299995,229.5,1622.699951,401.399994,292.5
103.949997,3178.349854,832.5,109.799995,100.349998,376.649994,238.049988,164.699997
216.449997,3985.649902,373.5,141.300003,226.349991,5636.699707,652.049988,49.049999
116.549995,7596,3562.649902,137.699997,169.199997,1185.299927,992.699951,153.899994
220.949997,3922.649902,414,81.900002,124.649994,204.75,825.75,176.849991
77.400002,984.149963,387.899994,110.699997,203.399994,3112.649902,97.199997,77.849998
81.449997,2402.550049,1329.299927,146.25,122.849998,405,73.349998,372.149994
87.299995,2749.949951,2074.949951,172.349991,606.149963,493.649994,658.799988,107.099998
74.699997,5054.850098,216.899994,125.549995,64.799995,860.849976,261.449982,98.099998
49.949997,4324.049805,99.899994,104.399994,115.649994,4944.149902,8265.149414,265.049988
292.049988,9076.5,1066.5,87.299995,66.599998,1243.799927,291.149994,164.699997
345.599976,1454.399902,2251.800049,394.199982,175.949997,1719.449951,773.549988,82.799995
226.799988,1550.25,144.899994,25.199999,81.900002,1617.75,5337.449707,230.849991
691.199951,5465.699707,408.599976,164.699997,332.549988,1534.049927,3486.599854,78.75
112.949997,2231.099854,121.949997,280.799988,113.399994,976.949951,874.349976,269.549988
1220.400024,2252.25,714.599976,102.149994,304.199982,3042.899902,397.349976,243
74.25,5872.049805,64.799995,48.149998,150.75,2907,255.599991,81
110.699997,1908,2171.25,95.399994,85.5,1706.399902,819.899963,62.099998
77.400002,2094.75,57.599998,41.849998,63.449997,1227.599976,2972.25,189.899994
117.449997,3554.549805,1895.849976,162.899994,56.699997,700.199951,8986.950195,222.299988
119.699997,1035.900024,1400.849976,60.75,605.25,957.149963,164.699997,332.549988
74.699997,2547.449951,2631.149902,66.599998,36.450001,814.949951,3111.299805,190.799988
94.049995,8686.799805,235.349991,130.050003,199.349991,4901.399902,182.699997,83.25
315.899994,4824.449707,1674,36.899998,121.5,4278.149902,5382.899902,41.849998
298.799988,4584.149902,1638.449951,47.699997,104.849998,1504.799927,4000.949951,92.699997
85.049995,1651.5,11359.34961,213.299988,84.150002,819.449951,580.5,82.349998
71.549995,1405.349976,1995.299927,1318.049927,190.799988,2849.849854,131.399994,360
78.75,1152,125.099998,73.349998,94.049995,1662.299927,522.899963,101.25
106.199997,7110,1212.75,207,115.199997,1569.599976,2507.849854,71.549995
113.399994,2080.349854,1064.699951,96.75,91.799995,2548.349854,524.700012,424.799988
90,5080.949707,590.399963,185.849991,234,4453.649902,1492.649902,275.850006
93.599998,2599.649902,595.349976,54,205.649994,1296,741.599976,352.799988
145.349991,4772.25,1278.449951,121.5,110.699997,333,3618,238.5
