null,EGKA,egka,GGKA,GSKV,GGKV,GSKA,lib
39.599998,3767.280029,643.279968,1228.47998,239.800003,62.919998,53.68,402.160004
62.48,19396.95898,773.960022,381.919983,136.399994,183.039993,263.559998,239.800003
179.080002,651.200012,713.679993,2130.040039,113.519997,400.839996,100.32,73.919998
439.119995,2768.47998,12317.79981,1130.800049,108.68,331.320007,556.599976,249.039993
103.400002,623.919983,4304.52002,650.76001,66,490.600006,100.760002,109.559998
563.200012,1424.719971,458.040009,393.359985,180.839996,322.079987,37.400002,205.479996
95.479996,1656.599976,1629.76001,539.880005,89.760002,179.959991,43.119999,319.440002
66.879997,2972.199951,2870.560059,1673.319946,77,128.479996,30.360001,170.279999
273.23999,2576.199951,5464.359863,165,101.639999,153.119995,50.599998,261.359985
66,814,200.639999,1569.920044,77.879997,230.119995,204.160004,67.760002
25.52,1837,605,2069.76001,143,47.959999,144.319992,141.679993
188.319992,3202.76001,5731,344.519989,52.360001,44,99.440002,62.040001
59.400002,1753.400024,7445.680176,885.719971,55.439999,96.800003,48.84,242.440002
269.720001,1517.119995,5643,588.719971,192.720001,231,272.359985,197.119995
53.68,1866.47998,4392.080078,1491.160034,517.440002,102.080002,185.240005,91.959999
97.239998,871.200012,572.880005,709.719971,37.400002,392.040009,76.120003,210.319992
98.120003,1410.640015,8899.879883,352,190.959991,151.800003,179.959991,451.440002
1746.800049,5253.600098,548.679993,123.639999,60.279999,85.360001,196.240005,367.399994
58.079998,1909.599976,548.679993,260.920013,384.559998,129.360001,61.16,109.120003
28.6,2292.399902,3422.76001,617.76001,51.919998,103.839996,175.559998,47.959999
627.440002,634.47998,5752.120117,2291.959961,704,260.480011,88.879997,667.919983
107.800003,3252.040039,822.799988,3815.679932,88,95.919998,51.48,63.799999
227.039993,1526.359985,545.159973,351.559998,89.760002,360.799988,404.799988,227.479996
170.720001,4818.879883,6758.399902,463.76001,39.16,1141.359985,81.839996,206.360001
123.639999,2641.76001,555.719971,284.679993,57.200001,209,386.76001,112.639999
668.799988,1301.079956,1703.23999,506,72.159996,117.919998,320.76001,433.839996
674.080017,1509.640015,446.600006,1116.280029,38.720001,210.759995,93.279999,70.400002
103.400002,1582.23999,2491.719971,1387.319946,168.959991,143,519.200012,135.080002
31.68,1553.640015,5466.560059,682,112.199997,73.480003,70.839996,246.399994
367.399994,10589.91992,153.119995,2141.919922,213.399994,65.120003,219.559998,35.639999
39.599998,740.080017,1009.359985,2687.080078,47.079998,145.199997,667.919983,603.679993
85.360001,727.320007,5137,641.080017,89.760002,166.759995,182.600006,121
341,746.679993,2038.079956,932.359985,32.560001,324.720001,47.959999,333.959991
1159.400024,1826.880005,516.559998,715.440002,46.639999,181.279999,86.239998,257.399994
94.599998,1370.599976,3454.879883,774.839966,104.279999,115.279999,62.48,93.720001
81.400002,970.640015,1631.959961,589.159973,44.880001,103.839996,150.479996,305.799988
45.32,2211,8940.799805,3257.320068,64.239998,143,154.880005,355.959991
125.400002,2436.719971,9001.519531,174.679993,155.319992,236.720001,140.360001,455.399994
257.839996,2608.76001,9776.799805,924,18.48,124.519997,65.559998,321.200012
153.559998,1812.800049,6495.279785,693.880005,40.040001,132.880005,55.439999,152.679993
58.079998,1103.959961,6469.759766,1363.559937,46.200001,498.959991,51.040001,65.559998
256.079987,922.679993,118.800003,33.439999,60.720001,383.679993,777.919983,55
126.279999,1300.640015,4874.319824,1512.719971,58.079998,255.199997,122.760002,160.160004
67.760002,12477.08008,4285.600098,1786.839966,99.879997,255.199997,264,115.279999
128.919998,3788.840088,3045.679932,541.200012,37.400002,308.880005,58.52,90.199997
297.440002,873.400024,1219.680054,735.23999,111.32,80.959999,412.279999,120.120003
483.119995,2179.76001,962.719971,251.679993,48.400002,120.559998,88.879997,195.800003
38.279999,6201.359863,1557.599976,505.119995,115.720001,168.080002,53.68,117.040001
58.959999,902,2584.119873,644.599976,141.679993,110.879997,117.040001,85.800003
1162.47998,973.279968,766.039978,1122.880005,69.519997,124.080002,86.68,229.240005
106.919998,5759.160156,921.799988,824.119995,66.879997,99.440002,168.959991,77.879997
91.519997,1118.040039,1584.439941,2554.199951,114.400002,67.32,156.199997,108.68
280.720001,1237.280029,2779.919922,593.119995,97.68,122.32,220,210.319992
159.279999,2830.52002,1796.52002,1529.439941,249.479996,93.279999,117.919998,66.440002
227.039993,2591.159912,9698.040039,250.800003,198,118.800003,348.919983,77.879997
385,1073.160034,838.640015,1020.359985,105.599998,130.679993,273.679993,381.919983
126.279999,1265.439941,369.600006,556.159973,70.839996,69.519997,51.919998,121.440002
51.040001,1044.119995,910.359985,3531,129.360001,242.880005,108.68,241.559998
337.040009,1656.160034,1240.800049,776.159973,83.599998,308,696.52002,353.320007
92.839996,5044.160156,578.599976,224.839996,98.120003,735.23999,66,137.720001
188.319992,8991.400391,4193.640137,99.879997,25.08,91.959999,307.559998,81.839996
142.559998,6617.160156,3886.52002,256.959991,64.68,154.440002,620.400024,99
495,1852.839966,721.599976,295.679993,182.600006,73.480003,385.440002,99.879997
117.479996,1514.920044,13714.36035,2362.800049,119.68,125.400002,267.519989,248.600006
432.079987,1664.959961,1590.160034,831.599976,115.720001,215.160004,330.880005,268.399994
306.679993,4792.919922,5162.52002,642.400024,50.16,69.080002,310.200012,51.040001
865.919983,850.960022,1880.119995,364.76001,110.440002,86.68,153.559998,58.52
63.799999,29.039999,3369.959961,1500.400024,340.119995,51.919998,99.879997,113.959999
239.360001,1089.439941,1344.640015,778.359985,201.520004,357.720001,72.599998,95.479996
285.119995,1482.800049,1379.400024,322.519989,33,102.959999,302.720001,86.68
458.919983,4195.839844,1341.559937,506.880005,184.360001,260.480011,115.279999,39.599998
159.279999,1139.160034,9008.55957,353.320007,584.320007,109.559998,71.720001,207.679993
181.279999,674.080017,869,494.119995,226.600006,858.880005,72.159996,296.559998
42.68,2349.159912,5014.680176,414.919983,56.759998,89.32,754.159973,132.880005
94.159996,1224.079956,508.200012,2674.76001,85.360001,249.479996,45.32,227.039993
384.559998,2126.959961,262.23999,1523.280029,36.959999,322.079987,157.080002,91.080002
43.119999,153.559998,1195.47998,1182.719971,259.600006,88,50.599998,553.960022
39.16,2079.879883,939.839966,618.200012,67.760002,164.559998,54.560001,121
129.800003,742.279968,1529.439941,858,66,133.759995,186.119995,184.800003
262.23999,7623,430.320007,4245.560059,84.919998,284.679993,124.519997,724.23999
124.959999,1253.559937,520.52002,605.440002,55,465.959991,33.439999,66.879997
110.879997,1351.23999,1382.47998,746.679993,41.799999,73.040001,158.839996,182.160004
657.799988,2882.439941,4548.279785,999.679993,102.519997,150.919998,109.559998,374
513.919983,1133,1238.160034,579.47998,37.400002,533.719971,92.400002,254.759995
354.200012,1986.599976,7121.839844,2729.76001,118.800003,210.759995,232.319992,72.159996
151.800003,2883.320068,1498.199951,695.200012,191.399994,191.839996,175.559998,259.600006
145.639999,1609.52002,659.559998,358.600006,92.839996,88.440002,89.760002,678.47998
45.759998,3793.679932,526.23999,1305.040039,111.760002,90.639999,387.200012,173.800003
139.479996,1012.440002,2401.52002,840.400024,81.400002,311.519989,80.959999,242.880005
153.559998,2475.879883,11756.79981,670.559998,217.360001,446.600006,88.440002,238.919998
565.840027,310.639984,243.759995,1100,128.039993,337.919983,117.040001,55.439999
135.080002,6884.680176,4059.439941,344.519989,53.68,109.120003,151.800003,1645.599976
94.599998,796.400024,326.920013,563.200012,146.960007,155.319992,146.080002,98.120003
469.040009,1004.960022,5965.080078,645.919983,124.959999,153.559998,55.439999,250.800003
186.559998,4063.399902,33425.03906,621.279968,79.199997,471.23999,491.919983,146.520004
140.360001,14438.16016,18909,2396.23999,137.720001,45.32,738.76001,80.080002
544.279968,437.799988,1185.359985,2239.600098,95.040001,78.760002,339.23999,510.839996
111.760002,1416.800049,1227.160034,2068,45.759998,127.599998,135.960007,295.679993
70.400002,2880.679932,298.76001,776.159973,232.759995,298.320007,82.279999,271.480011
75.239998,1294.47998,17628.59961,1916.640015,47.079998,244.639999,249.039993,44.439999
120.120003,106.040001,275.880005,1976.920044,107.800003,81.839996,800.799988,300.959991
241.559998,4745.839844,1638.559937,492.359985,1131.680054,40.040001,69.080002,1071.839966
274.119995,24538.80078,898.919983,1393.040039,94.159996,165,77,114.400002
246.399994,1963.280029,2699.399902,440,85.360001,101.639999,239.800003,69.519997
260.480011,2962.52002,339.679993,659.119995,50.16,58.52,87.120003,359.040009
89.760002,873.839966,700.47998,178.639999,140.360001,130.240005,72.159996,77.879997
65.120003,1932.040039,316.799988,1011.559998,59.84,110.440002,114.839996,55.880001
1436.160034,20371.56055,1569.47998,126.279999,65.120003,112.639999,676.279968,58.52
50.16,2034.559937,669.679993,311.079987,58.52,220,620.840027,58.52
212.520004,7682.399902,623.919983,1292.280029,36.959999,322.079987,319,43.119999
880.880005,1290.079956,403.480011,315.040009,134.639999,440.880005,174.679993,80.519997
47.959999,1508.319946,7591.319824,391.600006,95.479996,115.720001,77,215.160004
221.759995,1699.719971,1074.040039,449.679993,91.959999,280.279999,499.839996,154.440002
75.68,1324.400024,662.640015,4130.720215,41.799999,153.559998,242.880005,316.799988
212.959991,7271.439941,2038.079956,1133,180.839996,179.959991,87.120003,113.519997
473.880005,444.399994,558.799988,1177.880005,81.839996,93.279999,78.32,284.679993
98.559998,11239.79981,6215.439941,196.240005,451,86.239998,161.479996,268.839996
193.160004,1561.119995,528,1235.079956,62.919998,71.279999,216.479996,146.960007
201.520004,2611.399902,1526.800049,1138.280029,139.479996,249.919998,157.960007,523.159973
44.439999,2200.879883,1019.919983,7294.759766,40.48,292.600006,69.519997,66.440002
40.040001,1397.880005,1415.920044,1554.079956,72.599998,687.279968,278.959991,227.919998
366.519989,843.47998,2341.679932,2631.199951,95.040001,75.239998,236.279999,237.600006
177.319992,897.159973,598.400024,1159.839966,81.400002,202.399994,262.23999,165.440002
132.440002,7980.719727,1591.040039,126.279999,79.199997,410.959991,344.959991,129.800003
198.880005,3506.800049,1693.119995,399.959991,37.400002,229.240005,52.799999,36.959999
516.119995,3723.280029,1190.199951,476.079987,63.799999,110.879997,98.120003,160.160004
146.080002,1048.959961,9260.240234,690.799988,66.879997,310.639984,83.599998,1189.76001
46.200001,888.799988,2164.360107,1202.52002,170.720001,322.519989,762.960022,451.880005
245.080002,2618,1374.119995,3379.639893,119.68,174.240005,432.959991,168.520004
847.440002,3283.280029,22939.83984,3907.639893,93.720001,32.560001,94.159996,57.200001
263.559998,6734.200195,697.839966,440.880005,63.360001,185.679993,53.68,172.039993
558.359985,1320.880005,5655.319824,397.76001,39.599998,1255.319946,526.679993,86.239998
1331.880005,1414.160034,7242.399902,1118.040039,64.68,180.839996,183.039993,37.84
567.599976,1074.040039,783.640015,1012.440002,36.079998,344.519989,173.800003,94.599998
50.599998,1278.199951,388.519989,1074.47998,51.040001,84.919998,223.080002,166.759995
41.360001,1730.959961,501.160004,3869.359863,32.119999,227.039993,247.720001,392.919983
436.040009,1264.559937,741.839966,1061.719971,34.759998,323.839996,267.519989,36.52
107.360001,1793,11667.04004,160.600006,44.439999,246.399994,39.16,561.880005
132.440002,999.679993,1841.839966,2660.679932,84.919998,102.959999,251.240005,1145.76001
376.200012,722.47998,725.119995,301.839996,231,121.440002,207.679993,145.199997
131.119995,1599.400024,8962.799805,1454.640015,173.360001,313.279999,62.48,309.76001
40.040001,8863.360352,361.679993,464.200012,118.800003,58.959999,127.599998,788.919983
160.600006,695.200012,581.23999,504.23999,60.720001,165.880005,67.32,213.839996
485.320007,12798.71973,4334.439941,237.600006,55.880001,652.52002,116.159996,103.839996
44,546.47998,1290.959961,348.480011,60.279999,76.559998,369.160004,947.76001
443.519989,1125.079956,2210.560059,1365.319946,163.240005,63.799999,158.399994,65.559998
102.519997,1459.47998,1247.400024,3045.679932,145.639999,49.279999,373.559998,165.880005
170.279999,236.279999,1161.599976,1372.359985,88.440002,108.68,269.279999,399.079987
82.279999,315.040009,609.840027,347.600006,9.68,202.399994,85.800003,319.440002
44.880001,1108.800049,5800.080078,3643.199951,127.599998,83.159996,55.880001,89.32
356.399994,3377.439941,1683,2368.080078,59.84,47.079998,76.120003,573.76001
40.040001,795.080017,4195.839844,229.240005,91.519997,281.600006,56.759998,77.440002
33.439999,1230.680054,2628.119873,1490.719971,34.32,157.080002,252.559998,154.880005
682.440002,1484.559937,3517.800049,1892.880005,98.559998,148.720001,57.200001,297.440002
53.239998,952.599976,1068.319946,300.079987,67.32,308,73.040001,57.639999
40.040001,3808.639893,514.359985,3444.76001,70.400002,172.039993,112.199997,79.199997
2169.639893,1313.400024,3669.159912,627,49.279999,218.679993,290.839996,206.360001
374.880005,28418.2793,485.76001,925.320007,116.599998,145.199997,221.319992,917.400024
87.559998,3003,414.480011,3018.840088,165,368.720001,250.800003,278.519989
66.440002,2158.639893,391.160004,1226.719971,40.919998,121.879997,216.919998,147.399994
107.800003,3729,624.799988,3120.040039,70.839996,141.240005,146.520004,950.400024
99.879997,1467.839966,2283.600098,319,161.919998,556.159973,456.279999,60.279999
717.200012,1362.679932,490.600006,110,40.919998,108.239998,60.720001,85.800003
1185.359985,6022.279785,1328.800049,475.200012,203.720001,480.480011,165,61.599998
568.47998,4466.439941,2045.559937,669.679993,89.32,315.480011,268.399994,112.639999
120.120003,1200.76001,4242.47998,935.880005,131.559998,54.119999,74.800003,3126.639893
213.839996,1795.199951,354.639984,188.319992,71.720001,38.279999,541.640015,76.559998
1095.160034,1947.880005,1144,453.200012,110,559.23999,117.919998,319.440002
120.559998,1546.599976,1199.439941,76.120003,252.119995,624.799988,149.160004,382.799988
186.119995,2229.040039,4286.47998,351.559998,92.400002,57.639999,36.079998,164.119995
249.039993,2506.23999,984.719971,2443.76001,55.439999,600.159973,55,176
58.079998,2468.399902,591.799988,284.23999,171.160004,141.240005,51.919998,71.279999
223.520004,1005.839966,3679.280029,3178.560059,180.839996,115.279999,43.560001,231.880005
155.759995,1865.599976,3474.679932,3802.919922,55,119.239998,59.84,95.040001
523.159973,970.640015,2096.600098,680.679993,214.279999,81.839996,42.68,95.479996
97.239998,1370.599976,325.600006,851.839966,76.120003,340.119995,32.119999,55.880001
1085.920044,801.679993,1031.800049,482.23999,52.360001,34.759998,381.040009,259.600006
222.199997,2408.119873,907.279968,1550.559937,70.400002,379.279999,58.959999,197.559998
92.839996,2221.119873,503.799988,335.720001,155.319992,145.199997,101.639999,151.360001
913,2327.600098,5040.200195,1929.839966,121,150.039993,139.039993,180.839996
62.48,1254,1465.640015,355.959991,60.279999,296.119995,92.839996,57.639999
39.16,3469.840088,464.200012,448.799988,64.239998,410.519989,161.039993,106.919998
138.160004,986.47998,438.23999,855.359985,35.200001,397.320007,134.199997,89.32
164.119995,1551,1342.880005,487.079987,59.400002,115.279999,360.359985,29.48
258.720001,7304,5775.879883,429.880005,217.360001,54.119999,42.239998,176.440002
42.239998,5577,1048.079956,568.039978,125.400002,135.520004,379.720001,394.23999
467.279999,1063.47998,641.52002,342.320007,86.68,45.759998,120.120003,36.079998
321.639984,1151.040039,1333.640015,424.160004,26.4,92.400002,64.239998,87.120003
177.319992,1654.839966,270.600006,483.559998,36.52,188.759995,68.199997,305.359985
42.68,10896.59961,952.159973,1839.640015,349.359985,289.079987,87.559998,414.919983
720.719971,1106.599976,299.200012,722.47998,496.320007,442.639984,312.839996,352.440002
487.079987,1424.719971,2671.679932,2844.600098,41.360001,75.68,55,76.559998
350.679993,7430.719727,566.279968,1787.280029,121,76.120003,209.880005,253.440002
341.440002,4929.319824,216.479996,417.119995,359.040009,236.279999,156.199997,82.720001
264.440002,2348.280029,1935.559937,1578.280029,477.399994,263.119995,110,486.200012
52.799999,656.47998,2783.439941,1352.119995,59.84,419.320007,75.68,564.080017
169.399994,1269.400024,1760.439941,581.679993,77,78.760002,74.360001,106.479996
908.599976,4110.47998,1045,2386.560059,275.880005,141.240005,288.200012,122.32
67.760002,711.47998,1035.319946,335.720001,75.239998,280.720001,67.32,284.23999
777.47998,12052.04004,10172.36035,373.119995,399.079987,131.119995,83.159996,104.279999
189.199997,1847.119995,375.320007,6030.640137,106.040001,488.399994,420.639984,60.279999
878.23999,2678.719971,1045,1328.359985,80.519997,331.320007,61.16,223.959991
265.76001,1884.52002,735.679993,1896.839966,94.159996,69.519997,201.080002,262.23999
320.320007,1161.599976,12877.47949,42.68,101.639999,296.119995,375.76001,228.360001
94.159996,17925.16016,133.759995,452.76001,77,221.759995,471.679993,210.759995
292.160004,22723.35938,869.880005,245.959991,75.239998,69.080002,71.279999,261.799988
146.960007,2101.439941,956.559998,4060.320068,80.519997,64.68,28.16,57.200001
391.160004,3788.840088,1350.359985,454.519989,157.080002,64.239998,70.400002,105.599998
1628,1418.559937,155.759995,37.84,123.199997,792.440002,41.799999,439.119995
177.319992,1250.040039,1233.76001,3113.439941,33.439999,537.23999,97.68,326.920013
229.240005,1534.280029,462.440002,1693.119995,212.520004,28.6,85.360001,124.519997
715.880005,1803.119995,259.160004,706.200012,29.039999,286.880005,497.639984,113.959999
97.68,1165.119995,1154.559937,838.200012,43.119999,311.959991,102.080002,263.119995
320.320007,2339.040039,684.640015,1710.280029,55.880001,50.599998,260.480011,434.720001
95.479996,3185.600098,2215.399902,4532,123.199997,885.279968,338.799988,555.719971
62.48,954.799988,4710.200195,1382.47998,51.919998,138.160004,62.040001,64.239998
172.039993,13291.51953,3872.439941,578.159973,443.959991,97.239998,305.799988,115.720001
307.559998,7088.839844,794.640015,936.76001,64.68,62.48,65.559998,101.199997
764.279968,952.159973,7913.399902,188.759995,133.759995,167.199997,1104.839966,100.32
160.160004,2272.600098,290.839996,1155.880005,212.959991,556.159973,75.239998,93.279999
98.559998,1435.280029,232.759995,1492.47998,88.440002,93.279999,85.360001,71.279999
93.720001,709.279968,4277.239746,369.600006,485.320007,305.799988,238.919998,24.639999
166.759995,2335.080078,856.23999,386.76001,84.919998,167.639999,170.279999,190.520004
440.440002,1456.839966,3692.040039,5578.759766,36.959999,148.720001,2407.23999,70.400002
157.960007,1625.800049,2192.080078,725.119995,76.120003,781.440002,181.279999,62.48
546.039978,610.279968,1015.960022,252.559998,63.799999,36.959999,498.079987,46.200001
1305.920044,2556.399902,5269.439941,4746.279785,87.120003,253.880005,181.720001,70.400002
223.959991,3450.47998,397.76001,905.960022,140.800003,80.080002,315.920013,264
36.079998,1993.640015,934.559998,2450.800049,101.199997,321.200012,109.120003,55.880001
760.320007,688.159973,702.679993,876.919983,48.400002,62.919998,42.239998,345.399994
382.799988,1679.920044,1769.23999,148.279999,292.160004,72.599998,113.959999,92.839996
99,6209.719727,1905.640015,106.040001,466.839996,54.560001,38.720001,89.760002
197.119995,3911.159912,311.519989,434.279999,141.240005,100.760002,151.800003,143
54.119999,2187.23999,793.320007,1600.719971,95.479996,278.079987,82.279999,126.279999
22.879999,3193.080078,81.839996,867.23999,269.279999,823.23999,132.880005,99.879997
