null,lib,egka,EGKA,GGKA,GSKV,GGKV
91.979996,245.699997,1211.48999,802.619995,1132.109985,93.870003,33.389999
117.809998,85.68,2392.109863,4898.879883,701.820007,68.040001,144.899994
152.459991,79.379997,3178.97998,5084.72998,295.470001,83.159996,236.880005
49.77,47.25,7405.649902,6181.560059,318.149994,111.510002,126
157.5,320.669983,432.179993,2001.51001,2308.320068,100.169998,161.910004
432.809998,81.269997,1997.72998,2293.830078,115.919998,108.989998,204.75
98.909996,151.199997,1027.530029,2196.810059,3539.969971,138.600006,156.869995
259.559998,61.739998,501.480011,4709.25,465.570007,85.68,216.089996
73.080002,84.419998,1357.650024,1366.469971,1036.349976,63,194.669998
103.32,117.18,4328.72998,2031.119995,524.789978,73.080002,81.269997
144.270004,180.809998,708.119995,2219.48999,5178.600098,41.579998,141.119995
162.539993,117.809998,602.909973,3870.090088,1474.829956,122.849998,251.369995
120.330002,35.91,1572.47998,1341.27002,1295.910034,135.449997,119.699997
152.459991,163.169998,248.849991,2067.030029,4183.830078,81.900002,216.089996
74.970001,272.790009,2966.669922,4445.279785,2106.719971,170.100006,127.260002
132.300003,132.929993,367.290009,3682.97998,1268.189941,83.790001,64.260002
60.48,154.350006,2118.689941,2353.050049,706.859985,237.509995,95.129997
97.650002,112.769997,776.159973,1336.22998,2292.570068,238.139999,227.429993
59.220001,79.379997,455.48999,2548.97998,1976.309937,103.949997,97.019997
71.82,47.880001,204.119995,1869.839966,2502.359863,74.339996,291.690002
73.080002,103.32,371.070007,2115.540039,321.299988,96.389999,209.160004
58.59,400.679993,3903.47998,4925.969727,1356.390015,383.040009,198.449997
103.32,116.549995,2550.23999,4651.290039,1149.119995,163.169998,82.529999
83.790001,73.709999,2454.47998,1025.640015,711.27002,200.970001,191.520004
100.169998,219.869995,2698.919922,1844.01001,263.339996,168.839996,171.990005
103.949997,88.199997,978.390015,7161.209961,2553.389893,87.57,234.990005
143.639999,154.350006,1387.890015,3539.340088,645.119995,402.570007,182.699997
267.119995,99.540001,845.460022,2625.209961,2336.040039,173.880005,583.380005
158.759995,271.529999,1811.25,759.150024,1184.400024,91.349998,84.419998
129.149994,85.68,331.380005,2016,1639.890015,136.709991,119.699997
54.18,75.599998,1346.939941,1178.72998,337.049988,122.849998,297.359985
129.149994,167.580002,2579.850098,4131.540039,1994.579956,182.699997,76.860001
31.5,89.459999,188.369995,1421.280029,999.179993,195.929993,80.639999
170.100006,85.050003,1900.079956,2079.629883,2245.320068,151.830002,56.700001
86.940002,218.610001,2148.300049,1286.459961,1277.640015,238.770004,138.600006
245.069992,91.979996,1348.199951,2760.659912,391.230011,63.630001,144.899994
97.650002,417.690002,939.330017,7551.810059,171.990005,106.470001,118.440002
111.510002,151.830002,3136.77002,1702.890015,260.190002,83.790001,81.269997
384.929993,102.690002,4373.459961,1326.150024,1401.119995,265.859985,95.129997
78.120003,131.669998,1807.469971,1750.140015,365.399994,80.010002,247.589996
153.089996,144.899994,2493.540039,1621.619995,1571.219971,100.169998,86.940002
146.789993,117.18,1568.699951,893.969971,1227.23999,162.539993,71.190002
155.610001,206.639999,933.659973,4932.27002,1440.179932,163.800003,165.690002
111.510002,100.800003,2050.649902,1266.300049,1048.319946,81.269997,142.380005
243.809998,205.380005,5893.02002,1602.719971,249.479996,40.32,630.630005
58.59,39.689999,1510.73999,2034.27002,1505.699951,113.400002,150.569992
165.690002,182.069992,1106.910034,2325.330078,211.050003,97.019997,265.230011
131.669998,52.290001,1350.719971,2374.469971,1618.469971,103.949997,61.110001
107.729996,115.290001,1524.599976,473.130005,494.549988,54.18,70.559998
71.82,50.400002,1348.199951,2772,1524.599976,80.010002,108.360001
106.470001,306.179993,356.579987,1668.869995,2023.559937,99.540001,69.93
96.389999,122.220001,856.169983,854.279968,359.730011,213.569992,161.279999
158.759995,192.779999,1045.170044,3614.939941,164.429993,149.309998,200.970001
64.889999,179.550003,2041.829956,3143.070068,365.399994,153.089996,231.209991
83.790001,137.339996,2943.98999,2447.550049,1151.640015,158.759995,139.860001
131.039993,143.009995,1290.23999,2681.280029,1617.209961,152.459991,178.919998
178.289993,91.979996,3173.310059,5972.399902,773.640015,257.040009,177.660004
35.279999,83.790001,2283.119873,1814.400024,754.73999,110.25,115.919998
115.919998,96.389999,1236.059937,3191.580078,1193.849976,236.880005,123.479996
176.399994,52.290001,781.830017,1358.280029,441.630005,119.07,137.339996
306.809998,202.229996,2373.840088,1186.290039,277.829987,233.099991,266.48999
160.649994,78.75,1454.670044,1212.119995,444.779999,137.339996,95.129997
46.619999,152.459991,1199.52002,3897.179932,1673.280029,226.800003,125.370003
140.490005,192.149994,2039.939941,898.380005,2668.050049,224.910004,237.509995
126,71.82,3591,3455.550049,417.690002,274.679993,82.529999
183.959991,171.360001,1415.609985,2584.26001,538.02002,187.740005,47.25
101.43,102.059998,2832.47998,2206.26001,1525.22998,106.470001,123.479996
136.709991,84.419998,3462.47998,3690.540039,635.669983,92.610001,115.919998
153.089996,206.009995,578.969971,1269.449951,371.700012,83.159996,126
53.549999,114.659996,4178.160156,2350.530029,1614.059937,145.529999,114.029999
74.970001,181.440002,729.539978,1535.939941,512.820007,289.169983,150.569992
165.690002,161.279999,926.72998,2298.869873,1294.650024,115.919998,187.110001
80.639999,95.760002,611.72998,1483.650024,1016.190002,93.239998,227.429993
146.789993,198.449997,1302.209961,633.779968,429.029999,66.779999,98.279999
119.07,209.160004,353.429993,1359.540039,1842.119995,209.160004,153.720001
129.779999,111.510002,3296.159912,1651.22998,2821.77002,42.84,42.209999
107.099998,99.540001,2198.699951,1015.559998,49.139999,270.269989,304.290009
134.190002,78.120003,291.059998,3080.070068,723.869995,209.160004,165.690002
92.610001,90.089996,1561.77002,1875.51001,1175.579956,211.679993,86.309998
63.630001,223.020004,1514.52002,3631.320068,4998.419922,117.809998,151.199997
120.959999,228.059998,357.839996,2786.48999,106.470001,109.620003,68.669998
126,108.989998,815.219971,779.309998,2237.76001,165.059998,365.399994
203.490005,97.019997,143.639999,1324.890015,1545.390015,190.259995,134.190002
108.360001,149.940002,1813.140015,4840.919922,591.570007,126,71.82
225.539993,233.729996,4807.529785,592.830017,561.960022,215.459991,138.600006
87.57,192.779999,812.070007,1701.630005,1675.799927,81.269997,118.440002
313.73999,61.739998,1362.689941,2228.310059,171.990005,178.919998,51.66
73.709999,169.470001,604.799988,4624.200195,870.659973,61.739998,206.009995
271.529999,210.419998,2419.830078,1517.040039,420.839996,103.32,60.48
475.649994,262.079987,247.589996,3898.439941,554.400024,85.050003,282.869995
81.900002,145.529999,4386.060059,3078.179932,1629.179932,79.379997,156.869995
333.899994,167.580002,267.119995,1347.569946,2303.280029,140.490005,246.330002
243.179993,340.200012,1865.429932,2459.52002,2207.52002,322.559998,63
260.190002,193.410004,1224.719971,2376.98999,1824.47998,88.830002,90.089996
118.440002,635.039978,2863.350098,563.849976,690.47998,49.77,37.799999
534.23999,102.059998,3101.48999,2952.810059,3800.159912,100.800003,139.860001
159.389999,376.109985,1858.5,5253.569824,686.700012,234.360001,74.339996
252.630005,152.459991,614.25,6201.089844,1321.109985,51.66,352.799988
97.019997,204.75,1117.619995,705.599976,221.130005,51.66,107.099998
121.589996,119.07,1323,4893.209961,1275.119995,68.040001,114.659996
86.940002,316.889984,3446.099854,1232.910034,1953,381.149994,142.380005
160.649994,103.949997,928.619995,1477.349976,3517.290039,97.019997,135.449997
415.799988,139.229996,1145.969971,1127.699951,2634.030029,73.080002,80.010002
132.300003,173.880005,1149.75,611.72998,449.190002,308.700012,171.360001
79.379997,123.479996,3275.369873,3790.080078,4372.200195,51.66,50.400002
243.809998,166.319992,816.47998,3013.290039,224.279999,126,165.690002
225.539993,147.419998,205.380005,1621.619995,681.659973,211.679993,60.48
151.830002,121.589996,678.51001,1734.390015,319.410004,61.739998,74.970001
52.919998,78.75,2358.719971,1735.650024,1107.540039,178.289993,213.569992
101.43,191.520004,204.75,1222.199951,1113.209961,110.25,63.630001
133.559998,230.580002,648.900024,5417.370117,686.700012,176.399994,148.050003
126.629997,119.699997,2915.01001,3705.659912,1053.98999,189,260.190002
132.929993,85.050003,4282.739746,1052.72998,2667.419922,117.18,148.050003
43.470001,194.039993,1302.839966,2749.949951,1001.700012,128.520004,145.529999
241.919998,514.710022,1074.780029,4878.719727,3412.709961,315,280.980011
156.240005,127.260002,5775.209961,6153.839844,2852.639893,307.440002,122.220001
131.039993,130.410004,154.350006,1672.02002,2691.98999,74.970001,73.709999
228.059998,137.339996,1033.829956,2894.850098,3493.349854,95.129997,82.529999
177.660004,441.630005,1047.689941,1067.849976,1138.410034,103.949997,174.509995
199.709991,105.839996,2401.560059,2776.409912,469.980011,54.18,40.950001
283.5,147.419998,276.570007,2383.290039,757.890015,105.839996,221.130005
90.720001,112.769997,1344.420044,918.539978,1137.150024,107.729996,86.940002
123.479996,89.459999,2845.080078,2773.889893,2523.780029,151.199997,168.839996
96.389999,119.07,457.380005,1665.089966,477.540009,116.549995,101.43
210.419998,189.630005,1935.359985,4684.680176,474.389984,52.919998,112.139999
93.239998,91.349998,2718.449951,7049.069824,1607.76001,92.610001,211.050003
163.800003,132.929993,2003.400024,4155.47998,120.959999,86.940002,283.5
123.479996,166.319992,1431.359985,1287.719971,385.559998,80.010002,245.699997
132.929993,136.709991,3874.5,5365.709961,333.899994,208.529999,66.150002
114.029999,558.179993,103.949997,1042.650024,1466.01001,149.940002,373.589996
160.649994,154.350006,376.73999,1167.390015,2064.51001,144.899994,300.51001
83.790001,170.729996,2162.159912,3649.590088,953.820007,93.239998,124.110001
188.369995,59.849998,1752.030029,3614.310059,1119.51001,91.979996,360.98999
137.970001,127.889999,1562.400024,2009.699951,381.779999,83.790001,450.449982
171.360001,93.870003,1893.780029,1846.530029,863.099976,39.689999,670.320007
64.260002,1557.359985,541.799988,4235.489746,1875.51001,127.260002,102.059998
120.330002,420.209991,641.339966,868.77002,2540.790039,49.139999,212.309998
295.470001,150.569992,946.890015,3151.889893,1564.920044,267.75,111.510002
98.279999,92.610001,2270.52002,5225.219727,1480.5,456.75,429.660004
95.129997,224.910004,4498.200195,1387.26001,1592.01001,110.25,245.069992
71.82,83.790001,607.320007,2276.820068,980.279968,115.919998,248.849991
67.409996,169.470001,1152.27002,418.320007,1942.920044,139.229996,131.669998
71.82,95.129997,1006.109985,2138.850098,361.619995,80.010002,260.190002
85.050003,66.779999,150.569992,3982.859863,1287.719971,279.720001,256.410004
90.089996,252.630005,1355.76001,1883.699951,1323.630005,192.779999,30.869999
161.910004,195.929993,1460.339966,1101.869995,1023.75,177.029999,110.879997
113.400002,115.290001,1308.51001,1481.76001,1283.309937,107.729996,114.659996
266.48999,61.739998,1205.819946,5377.049805,1509.47998,88.199997,48.509998
57.329998,168.209991,2116.800049,1759.589966,493.290009,175.770004,98.279999
63.630001,112.139999,1899.449951,1870.469971,195.300003,120.959999,75.599998
281.609985,289.799988,1144.079956,614.25,3043.530029,74.339996,553.77002
114.659996,134.190002,2945.879883,3306.23999,494.549988,213.569992,212.940002
156.869995,98.279999,1245.51001,3664.709961,694.890015,199.080002,277.200012
326.339996,118.440002,708.119995,1165.5,1805.579956,191.520004,349.649994
45.360001,268.380005,1678.949951,1181.25,1165.5,229.319992,96.389999
248.849991,193.410004,1613.429932,2794.050049,972.089966,108.360001,91.349998
134.190002,161.910004,2324.070068,3605.48999,415.799988,97.650002,233.099991
146.160004,141.75,502.109985,929.25,835.380005,107.099998,441.630005
69.93,602.909973,1143.449951,1528.380005,1997.72998,170.729996,162.539993
118.440002,269.639984,1106.910034,1874.25,1416.23999,154.350006,109.620003
387.450012,40.950001,753.47998,3492.719971,2344.22998,93.870003,581.48999
102.059998,127.260002,1089.900024,1377.809937,1212.119995,68.669998,63
101.43,156.869995,198.449997,2866.5,1130.219971,73.709999,231.209991
106.470001,93.870003,476.279999,3524.219971,1544.76001,269.01001,223.020004
167.580002,122.220001,2373.840088,3661.560059,190.259995,158.759995,149.940002
104.580002,212.309998,866.25,5240.969727,1617.839966,284.130005,154.979996
138.600006,259.559998,2854.530029,1593.900024,2056.320068,171.360001,178.919998
74.970001,94.5,941.219971,1257.47998,599.130005,79.379997,119.07
146.789993,115.919998,645.119995,2952.810059,2777.669922,122.220001,141.75
172.619995,199.080002,1324.890015,2618.909912,716.940002,71.82,97.019997
78.120003,78.75,1238.579956,3026.52002,960.75,139.860001,206.639999
99.540001,349.019989,1157.309937,1564.920044,1920.869995,95.129997,134.819992
79.379997,198.449997,2983.679932,2156.48999,1316.699951,146.789993,221.130005
134.190002,170.100006,4505.129883,3688.649902,1056.51001,75.599998,104.580002
514.080017,136.709991,4184.459961,846.719971,721.349976,151.199997,179.550003
70.559998,246.959991,2021.040039,1927.170044,708.119995,149.309998,110.25
72.449997,116.549995,1231.02002,1147.859985,393.119995,195.929993,152.459991
488.25,59.220001,3864.419922,3708.810059,437.220001,162.539993,201.600006
67.409996,258.929993,1621.619995,3088.26001,396.269989,103.949997,112.139999
101.43,69.93,931.77002,1305.98999,4811.310059,189,65.519997
149.940002,176.399994,858.059998,2912.48999,1404.27002,129.149994,703.710022
445.410004,152.459991,2160.27002,2282.48999,497.070007,224.279999,214.199997
416.429993,70.559998,2221.379883,1070.369995,2513.699951,154.350006,238.770004
173.25,194.039993,567,1710.449951,1199.52002,822.149963,117.809998
171.990005,180.179993,345.869995,2150.189941,2431.169922,117.809998,120.959999
150.569992,138.600006,1664.459961,1352.609985,4064.129883,432.809998,184.589996
63,217.979996,1171.800049,5117.489746,274.679993,137.339996,187.740005
119.07,131.669998,924.210022,3392.550049,484.470001,206.639999,64.260002
90.720001,144.270004,584.640015,3146.219971,2254.139893,165.690002,64.889999
86.309998,210.419998,809.549988,6247.080078,1416.869995,153.089996,177.660004
113.400002,257.040009,3604.859863,1290.869995,270.899994,187.740005,261.450012
117.18,98.909996,1846.530029,4833.359863,2853.27002,284.130005,225.539993
82.529999,321.299988,822.779968,3427.199951,3658.409912,193.410004,238.139999
302.399994,108.989998,245.699997,1546.02002,798.839966,180.179993,95.129997
195.929993,119.699997,2178.540039,1839.599976,2634.659912,45.989998,85.68
95.760002,95.129997,509.669983,1091.160034,424.619995,64.889999,73.080002
105.839996,152.459991,2341.080078,2336.040039,395.01001,117.18,209.789993
71.190002,686.700012,1687.77002,1019.339966,2438.100098,185.220001,156.240005
180.179993,173.880005,1669.5,527.940002,1652.48999,187.110001,154.979996
422.730011,218.610001,2377.619873,3642.659912,5599.439941,129.779999,297.359985
79.379997,310.589996,357.839996,2196.810059,350.279999,118.440002,135.449997
86.309998,110.879997,397.529999,3044.159912,3005.100098,207.899994,324.450012
192.149994,116.549995,1162.349976,1447.109985,774.27002,100.800003,189
104.580002,211.050003,131.039993,671.580017,2904.300049,121.589996,143.009995
156.240005,80.010002,1931.579956,1707.299927,235.619995,93.239998,312.480011
86.940002,332.01001,440.369995,1667.609985,944.369995,175.770004,209.789993
207.899994,45.989998,411.389984,675.98999,204.119995,468.089996,105.209999
110.879997,108.360001,1962.449951,2651.669922,1071,52.919998,78.75
101.43,219.869995,2887.290039,2020.410034,932.399963,105.209999,183.959991
132.300003,122.220001,1381.589966,3595.409912,764.190002,110.879997,246.959991
173.25,98.279999,227.429993,1393.559937,1270.709961,255.149994,105.209999
110.879997,204.119995,1764,2650.409912,4215.330078,136.709991,224.279999
114.029999,88.199997,1595.790039,1091.160034,600.390015,124.110001,80.010002
88.830002,86.309998,9199.889648,2065.139893,2365.649902,54.810001,105.839996
100.169998,91.349998,602.909973,2635.290039,993.51001,219.869995,54.810001
122.849998,90.089996,2927.609863,4694.759766,982.169983,139.229996,215.459991
95.760002,168.209991,1958.670044,4653.180176,320.669983,156.869995,154.350006
57.329998,90.089996,1927.170044,3045.419922,2174.129883,153.720001,139.229996
126.629997,88.199997,597.23999,4480.560059,2520,91.979996,135.449997
589.679993,205.380005,788.76001,1423.170044,612.98999,88.830002,98.279999
209.160004,947.52002,531.089966,5472.180176,1701,281.609985,230.580002
156.869995,163.800003,1811.25,2671.199951,173.25,153.089996,236.880005
255.149994,257.669983,811.440002,2350.530029,312.480011,99.540001,147.419998
159.389999,91.979996,1758.959961,1724.939941,251.369995,156.869995,180.179993
246.330002,66.779999,1317.959961,2473.379883,2349.27002,204.75,56.700001
55.439999,167.580002,10061.72949,475.649994,1180.619995,105.839996,137.970001
437.850006,90.720001,189,6684.930176,2404.709961,138.600006,163.169998
169.470001,105.209999,5639.759766,4943.609863,469.980011,152.459991,325.079987
53.549999,79.379997,1205.819946,696.150024,231.839996,526.049988,282.869995
150.569992,157.5,216.720001,4470.47998,1665.089966,83.159996,216.720001
141.75,135.449997,2799.090088,1857.23999,828.450012,113.400002,61.739998
115.919998,117.18,2036.790039,1677.059937,4795.560059,273.419983,224.279999
154.979996,267.75,229.949997,4775.399902,1750.77002,170.100006,81.269997
323.820007,91.349998,1176.209961,654.570007,5266.169922,58.59,252.630005
74.339996,152.459991,956.969971,926.72998,1624.140015,219.869995,229.949997
214.199997,71.190002,2503.619873,4079.879883,1098.089966,74.970001,160.649994
79.379997,163.800003,3749.129883,3196.619873,1445.219971,67.409996,167.580002
252,120.330002,1078.559937,2291.939941,2222.639893,66.150002,294.209991
81.900002,57.329998,1103.130005,2208.149902,492.029999,108.360001,220.5
161.910004,103.32,1908.900024,1155.420044,811.440002,90.720001,124.739998
128.520004,35.279999,1886.849976,4186.350098,2482.199951,215.459991,34.02
209.160004,85.050003,1968.75,4819.5,1994.579956,85.68,130.410004
139.860001,146.160004,1246.77002,2880.359863,3298.679932,124.110001,169.470001
190.889999,128.520004,686.070007,111.510002,563.219971,103.32,122.849998
149.940002,90.089996,2499.209961,930.51001,3447.98999,119.07,267.75
121.589996,199.709991,336.419983,551.880005,1061.550049,98.279999,57.329998
125.370003,340.200012,498.959991,435.959991,1391.040039,237.509995,237.509995
119.07,134.819992,399.419983,864.98999,367.290009,69.300003,134.819992
143.639999,171.990005,1271.339966,3892.139893,196.559998,32.130001,147.419998
77.489998,89.459999,679.140015,6327.089844,423.359985,100.169998,91.979996
180.809998,250.110001,2905.560059,9475.200195,1668.869995,118.440002,90.089996
130.410004,77.489998,2873.429932,2423.609863,308.070007,258.929993,73.709999
182.069992,139.860001,3053.609863,1534.679932,775.529968,119.07,507.779999
99.540001,183.959991,403.829987,5734.259766,1755.809937,326.339996,338.309998
114.029999,253.259995,2213.189941,3737.790039,1719.900024,130.410004,149.309998
139.860001,41.579998,990.98999,850.5,1126.439941,141.75,96.389999
122.220001,188.369995,1197.630005,2102.939941,695.52002,74.339996,442.26001
286.649994,231.209991,2788.379883,1805.579956,934.289978,363.51001,186.479996
159.389999,87.57,1155.420044,630,3969,111.510002,105.209999
66.779999,175.139999,491.399994,3204.810059,177.029999,162.539993,247.589996
114.029999,47.880001,171.360001,1509.47998,1113.209961,76.860001,105.839996
72.449997,224.279999,2371.949951,1179.98999,2788.379883,156.869995,49.139999
203.490005,180.179993,1968.119995,2853.899902,481.949982,78.75,100.169998
42.84,152.459991,274.049988,2273.040039,1145.339966,79.379997,260.190002
47.25,49.139999,719.460022,4035.780029,716.940002,54.18,264.600006
100.169998,101.43,2518.73999,6774.390137,1390.410034,116.549995,151.830002
70.559998,112.769997,175.770004,2434.320068,292.320007,163.800003,141.75
37.799999,80.639999,1771.559937,2179.169922,1373.400024,171.990005,122.849998
136.080002,101.43,376.109985,1658.790039,136.080002,78.75,84.419998
104.580002,199.709991,2365.02002,1224.719971,1016.190002,68.669998,118.440002
138.600006,185.850006,309.959991,2726.01001,3109.050049,136.709991,41.579998
269.01001,430.290009,962.640015,860.580017,818.369995,48.509998,165.059998
470.609985,86.309998,985.950012,1099.97998,1168.650024,171.990005,272.160004
113.400002,51.029999,236.25,619.289978,311.220001,166.319992,183.959991
287.279999,71.82,841.049988,533.609985,2790.27002,119.699997,153.720001
139.229996,76.860001,2307.689941,1709.819946,6964.649902,206.639999,121.589996
138.600006,359.100006,1766.52002,4010.580078,1381.589966,115.919998,173.25
117.18,142.380005,1789.829956,1258.73999,1869.209961,64.889999,112.769997
315,182.069992,1593.900024,2479.050049,367.290009,123.479996,284.76001
205.380005,131.669998,260.820007,3871.97998,118.440002,96.389999,101.43
137.339996,78.75,655.200012,3144.959961,477.540009,219.240005,51.66
90.089996,112.769997,3539.340088,1811.25,2039.309937,504.630005,122.849998
197.190002,125.370003,4008.689941,1982.609985,949.409973,156.240005,138.600006
273.419983,160.020004,3725.189941,1156.050049,128.520004,122.849998,229.319992
187.110001,183.330002,1280.160034,3810.23999,3352.22998,68.040001,126.629997
90.089996,35.279999,427.139984,3813.389893,3177.090088,132.929993,486.359985
106.470001,48.509998,1103.76001,2646,623.700012,111.510002,80.639999
32.759998,160.649994,1403.640015,1796.76001,1459.079956,248.220001,184.589996
175.139999,2144.52002,457.380005,1816.290039,3647.699951,179.550003,81.269997
54.810001,367.919983,2900.52002,3251.429932,1388.52002,126.629997,76.229996
194.039993,75.599998,2203.73999,3561.389893,343.980011,44.73,379.26001
78.75,224.279999,2358.090088,5395.950195,480.690002,57.329998,219.869995
111.510002,87.57,5264.279785,371.700012,8373.330078,106.470001,100.169998
